GEOID,map_id,borough,population,poverty_rate,income,lat_t,lon_t,providers,provider_time_weight_sum,avg_provider_time_weight,density,z_density,min_dist,inv_dist,z_access_map,FI,FI2,fragmentation_index,FI_combined,frag_q,surface_version,_ID
36081052400,36081052400,Queens,2150,0.15674418,112838,40.7012277,-73.7619595,0,0,0,0,0.1993578175,0.006914250066,9.353290131,-0.3967922274,0.3967922274,0.5961500449,0.3943616546,0.3943616546,High fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,330
36081052500,36081052500,Queens,2152,0.16914499,77037,40.7189703,-73.9066375,0,0,0,0,0.1993578175,0.005664129759,9.463949614,-0.1167828673,0.1167828673,0.3161406848,0.2091315175,0.2091315175,High fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,2005
36081052600,36081052600,Queens,2352,0.16566265,96695,40.6970946,-73.759763,0,0,0,0,0.1993578175,0.009289835127,9.149981779,-0.9112374453,0.9112374453,1.110595263,0.734674415,0.734674415,Most fragmented,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,1882
36081052800,36081052800,Queens,1577,0.2428662,79542,40.6940352,-73.7587303,0,0,0,0,0.1993578175,0.01203523585,8.925763332,-1.478592925,1.478592925,1.677950742,1.109988059,1.109988059,Most fragmented,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,331
36081053000,36081053000,Queens,2510,0.21633466,102381,40.6963382,-73.7525403,0,0,0,0,0.1993578175,0.007542803433,9.298623135,-0.535119917,0.535119917,0.7344777345,0.4858673704,0.4858673704,High fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,332
36081053100,36081053100,Queens,3244,0.17632553,73938,40.7230578,-73.9083341,0,0,0,0,0.1993578175,0.009628626874,9.121705056,-0.9827879978,0.9827879978,1.182145815,0.7820061136,0.7820061136,Most fragmented,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,3348
36081053200,36081053200,Queens,2163,0.18007484,97419,40.7001024,-73.7490919,0,0,0,0,0.1993578175,0.00442961914,9.57582732,0.1663090496,-0.1663090496,0.03304876788,0.02186222562,0.02186222562,Moderate-high fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,1922
36081053401,36081053401,Queens,1968,0.25457317,103594,40.6998291,-73.7441493,1,0.2380952388,0.2380952388,0.0001209833531,-0.1495496189,0.00209082501,9.795199519,0.7214017309,-0.7214017309,-0.8709513499,-0.5761465899,-0.5761465899,Least fragmented,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,359
36081053501,36081053501,Queens,1162,0.37130433,73042,40.7164749,-73.9126019,0,0,0,0,0.1993578175,0.009696737163,9.116041423,-0.9971190788,0.9971190788,1.196476896,0.7914863257,0.7914863257,Most fragmented,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,186
36081053601,36081053601,Queens,1761,0.29244748,,40.7066988,-73.745865,0,0,0,0,0.1993578175,0.008712006301,9.198615995,-0.7881749164,0.7881749164,0.9875327339,0.6532668181,0.6532668181,Most fragmented,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,361
